gndr,happy,sclmeet,inprdsc,dclvlf,tmdotwa,sedirlf,health_num,hincfel_num
Hombre,7.13,4.84,2.66,1.95,6.73,7.08,3.83,2.88
Mujer,7.09,4.75,2.68,2.02,6.54,6.93,3.69,2.72
