chldhhe,happy,sclmeet,inprdsc,dclvlf,tmdotwa,sedirlf,health_num,hincfel_num
Sí,6.91,4.58,2.51,1.99,6.9,6.85,3.38,2.77
No,7.25,5.28,2.85,1.93,6.85,7.01,4.04,2.91
