icpart1,happy,sclmeet,inprdsc,dclvlf,tmdotwa,sedirlf,health_num,hincfel_num
Sí,7.37,4.61,2.7,2,6.54,7.2,3.77,2.88
No,6.75,5.05,2.63,1.98,6.76,6.72,3.73,2.67
