dvrcdeva,happy,sclmeet,inprdsc,dclvlf,tmdotwa,sedirlf,health_num,hincfel_num
Sí,6.8,4.57,2.58,1.97,6.55,6.85,3.56,2.67
No,7.17,4.83,2.69,1.99,6.64,7.03,3.79,2.82
